id,zip,ward,lead,draw
1,48504,6,0.344,first
2,48507,9,8.133,first
4,48504,1,1.111,first
5,48507,8,8.007,first
6,48505,3,1.951,first
7,48507,9,7.2,first
8,48507,9,40.63,first
9,48503,5,1.1,first
12,48507,9,10.6,first
13,48505,3,6.2,first
15,48507,9,4.358,first
16,48505,5,24.37,first
17,48505,2,6.609,first
18,48503,7,4.062,first
19,48507,9,2.484,first
20,48507,9,0.438,first
21,48503,5,1.29,first
22,48504,6,0.548,first
23,48504,2,3.131,first
24,48504,6,120,first
25,48505,1,2.911,first
26,48505,5,16.52,first
27,48505,1,1.984,first
28,48503,7,5.367,first
29,48504,2,5.5,first
30,48506,4,0.639,first
31,48503,7,6.087,first
31,48503,7,10.32,first
33,48503,6,66.88,first
34,48505,1,20.41,first
35,48504,6,109.6,first
36,48503,8,5.06,first
37,48504,2,2.774,first
38,48505,3,4.453,first
39,48505,1,0.4,first
40,48529,9,0.974,first
41,48505,5,3.228,first
42,48505,2,12.55,first
43,48505,3,0.501,first
44,48504,2,2.448,first
45,48505,3,5.508,first
46,48504,6,1.293,first
47,48505,1,4.699,first
48,48504,6,6.093,first
49,48504,2,0.8,first
50,48503,5,1.626,first
51,48507,8,2.576,first
52,48504,1,2.362,first
53,48503,5,1.585,first
54,48506,4,3.058,first
55,48506,4,2.423,first
56,48503,8,30.91,first
57,48503,8,4.47,first
58,48505,1,2.172,first
59,48505,3,1.8,first
63,48503,5,0.965,first
65,48505,1,7.636,first
66,48506,3,3.158,first
67,48503,7,105.3,first
68,48506,3,4.476,first
69,48504,1,2.828,first
71,48503,5,2.481,first
72,48507,5,11.52,first
73,48507,8,3.784,first
74,48503,5,1.344,first
75,48504,6,11.93,first
76,48507,9,10.96,first
77,48504,6,3.341,first
78,48503,5,1.229,first
79,48503,6,6.3,first
79,48503,6,5.153,first
80,48504,6,6.054,first
82,48504,2,31.14,first
83,48504,6,102.7,first
84,48504,2,1.38,first
85,48505,3,1.132,first
87,48507,9,3.232,first
88,48532,8,0.507,first
90,48506,4,8.561,first
91,48505,3,9.997,first
92,48504,1,4.152,first
93,48504,2,75.82,first
95,48506,4,138.8,first
96,48507,9,0.8,first
97,48504,2,7.244,first
98,48506,3,1.621,first
99,48505,1,1.032,first
100,48504,2,0.866,first
101,48504,2,2.525,first
102,48505,5,9.408,first
103,48505,0,0.739,first
104,48505,1,0.9,first
105,48504,2,1.403,first
106,48503,8,5.655,first
107,48505,2,31.06,first
108,48506,4,1.469,first
109,48505,1,23.85,first
110,48505,2,9.766,first
111,48505,1,4.69,first
112,48505,3,4.066,first
113,48505,1,0.846,first
114,48505,1,2.054,first
115,48506,7,3.744,first
116,48507,9,12.9,first
117,48505,1,0.543,first
118,48503,7,6.877,first
119,48505,1,0.552,first
121,48506,3,59,first
122,48506,4,0.349,first
123,48506,4,4.764,first
124,48506,4,0.832,first
125,48506,4,1.224,first
126,48507,9,15.9,first
127,48506,4,5.667,first
128,48506,4,3.564,first
129,48506,4,0.475,first
130,48507,9,5.3,first
131,48506,4,1.166,first
132,48506,4,0.684,first
133,48503,8,6.347,first
134,48507,9,10.56,first
135,48502,5,2.273,first
136,48505,1,1.571,first
137,48503,8,5.402,first
138,48504,6,43.19,first
139,48503,8,1.492,first
140,48503,5,66.24,first
141,48505,1,1.799,first
142,48503,8,1.861,first
143,48503,8,2.672,first
144,48505,1,3.741,first
145,48506,4,1.934,first
146,48506,4,27.05,first
147,48506,4,1.174,first
148,48507,9,2.325,first
149,48506,4,1.966,first
150,48506,4,1.959,first
151,48506,4,0.823,first
152,48506,4,11.2,first
153,48504,2,5.668,first
154,48506,4,6.261,first
155,48506,4,4.797,first
156,48506,4,0.64,first
158,48507,9,8.713,first
159,48507,9,2.544,first
161,48507,9,0.41,first
162,48503,7,32.85,first
163,48503,7,12.87,first
164,48503,8,38.02,first
165,48507,9,2.435,first
166,48507,9,2.997,first
167,48507,9,11,first
168,48507,9,6.219,first
169,48503,8,8.8,first
170,48504,6,8.071,first
171,48507,9,3.262,first
172,48503,8,2.267,first
173,48505,3,0.922,first
174,48504,6,27.02,first
176,48503,8,0.906,first
177,48507,9,2.85,first
178,48504,2,1.852,first
179,48506,4,5.35,first
180,48503,7,25.21,first
182,48504,6,15.55,first
183,48506,4,0.793,first
184,48506,4,5.068,first
185,48507,8,26.64,first
186,48506,4,1.867,first
189,48506,4,19.16,first
191,48503,5,28.7,first
192,48507,9,20.22,first
193,48507,8,2.9,first
194,48503,7,18.86,first
195,48507,9,2.816,first
196,48506,3,118.4,first
197,48506,3,27.45,first
198,48503,7,1.2,first
200,48506,4,4.681,first
201,48506,3,11.57,first
202,48532,8,6.557,first
203,48505,3,3.4,first
204,48504,6,0.7,first
205,48507,8,158,first
206,48506,4,0.977,first
207,48503,8,8.471,first
208,48507,9,11.47,first
209,48503,7,5.228,first
210,48507,9,0.956,first
211,48504,6,1.671,first
212,48507,9,1.152,first
213,48507,9,0.5,first
214,48503,5,10.74,first
215,48507,9,3.9,first
216,48507,9,2.149,first
217,48506,4,1.1,first
218,48507,9,7.087,first
219,48505,1,1.329,first
220,48507,9,6.2,first
221,48505,3,0.8,first
222,48503,8,9.3,first
223,48504,2,2.1,first
224,48505,1,4.563,first
225,48504,2,4.808,first
226,48504,2,0.753,first
227,48505,1,1.862,first
228,48503,7,1.183,first
229,48503,7,8.2,first
230,48504,6,3.679,first
231,48505,1,2.37,first
234,48504,2,0.828,first
235,48503,7,0.719,first
236,48504,1,2.822,first
237,48504,8,2.867,first
238,48503,7,2.332,first
240,48503,8,4.401,first
241,48504,6,2.708,first
242,48504,6,34.13,first
